id;title;citations;year;authors;journal;abstract;keywords
83;A survey on new trends of digital twin technology for power systems;14;2021;Mohammadi Moghadam, Hooman Foroozan, Hossein Gheisarnejad, Meysam Khooban, Mohammad-Hassan; Journal of Intelligent & Fuzzy Systems,;Recently, the Digital Twin (DT) technology, which joints the physical environment and virtual space, has drawn more attention in industry and research academic plans. In general, the virtual model representations of the physical objects are created in the DT manner to simulates the characteristics and behaviors of the real-word system. Applying a supervisory system not only can reduce the failures of components, but also preserve the overall costs associated with the system at a minimum. This paper reviews the DT applications in the power system, while its advantages in wind turbines, solar panels, power electronic converter, and shipboard electrical system will be briefly discussed. The potential benefits of contemporary technologies to ameliorate the DT in the industry are studied. Besides, it provides a great technique to assess and analyze system performance. As a basis for DT, various new emerging developments as an example of artificial intelligence (AI), big data, the internet of things (IoT), and 5 G are reviewed.; Index Terms: Digital Twin (DT), Artificial Intelligence (AI), ship power system, big data, Internet of Things (IoT)
84;Distributed Simulation for Digital Twins: an Application to Support the Autonomous Robotics for the Extended Ship;1;2022;"Francesco Longo; Antonio Padovano; Lorenzo Caputi; Gianluca Gatti; Petronilla Fragiacomo; Virginia D’Augusta; Simone Talarico";2022 IEEE/ACM 26th International Symposium on Distributed Simulation and Real Time Applications (DS-RT);A Digital Twin (DT) helps people enhance their visibility of the system’s current state and understand/predict its behavior under different conditions. The systems being twinned (e.g. defense, manufacturing, logistics, computer and network systems) are typically very complex and require significant effort to model and track. This paper discusses how Distributed Simulation (DS) can support DTs thanks to a network of distributed computing resources. DS can speed up the execution of simulation programs in DTs (and therefore the time taken to analyze the behavior of a system) and link together simulations to support composability and reusability during the development of DTs. A distributed real-time simulation environment based on the IEEE 1516 High Level Architecture Standard (HLA) has been developed in the case of the DT of an Underwater Unmanned Vehicles (UUV), intended to extend the ship capabilities. In this study, major Italian stakeholders, working in the maritime domain, are developing a number of tools and enabling technologies needed for the practical implementation of an extended ship with a fleet of underwater and surface drones and found in the HLA-based DS a perfect solution for a simulation-based DT.;Distributed Simulation,Digital Twin,High-Level Architecture (HLA),Underwater Unmanned Vehicles,Drones
85;"The Use of Metaverse in Maritime
Sector – A Combination of Social
Communication, Hands on
Experiencing and Digital Twins";6;2022;"Mika Luimula, Timo Haavisto, Duy Vu, Panagiotis Markopoulos,
Jami Aho, Evangelos Markopoulos, and Juha Saarinen";Creativity, Innovation and Entrepreneurship;"COVID-19 has caused challenges in traveling and sales activities while teleconferencing is at the moment the main communication tool in industry. Various technology
giants such as Facebook, Microsoft, and Epic Games have published their visions for
remote presence. In February 2021, also Turku University of Applied Sciences started
the development of its own metaverse technology. In this paper, we will introduce this
technology and its main features to enable social communication, hands on experiencing and digital twin integration. The whole development process has been split in
three phases: preliminary study to find the most promising combination of hardware
and software tools, prototyping study to create the first version in various test and
generate cycles, and finally piloting study to find out how this technology can be utilized in one chosen domain namely in maritime sector. As a result, we have been able
to develop a robust technology which can be used as a virtual reality social platform";Metaverse, Virtual reality, Virtual reality social platform, Social communication,Hands on training, IoT, Digital twins
86;Co-simulation as a Fundamental Technology for Twin Ships;21;2020;"Hatledal, Lars Ivar; Skulstad, Robert; Li, Guoyuan; Styve, Arne; Zhang, Houxiang";NTNU open;The concept of digital twins, characterized by the high fidelity with which they mimic their physical counterpart, provide potential benefits for the next generation of advanced ships. It allows analysis of data and monitoring of marine systems to avoid problems before they occur, and plan for the future by using simulations. However, issues related to integration of heterogeneous systems and hardware, memory, and CPU utilization makes implementing such a digital twin in a monolithic or centralized manner undesirable. Co-simulation addresses this problem, allowing different sub-systems to be modelled independently, but simulated together. This paper presents the ongoing work towards realizing a digital twin of the Gunnerus research vessel by applying co-simulation and related standards. The paper does not present a complete, ready-to-use digital twin. Rather it presents the preliminary results, procedure, and enabling technologies used towards realizing one. In order to accommodate this goal, a novel co-simulation solution, developed in cooperation by members of the Norwegian maritime industry, is presented. Furthermore, a maneuvering case-study is carried out, utilizing pre-recorded sensor data obtained from the Gunnerus. Through a comparative study with the real maneuver in terms of speed, course, and power consumption, the proposed approach is verified in simulation.;
87;Hybrid ML-EMT-Based Digital Twin for Device-Level HIL Real-Time Emulation of Ship-Board Microgrid on FPGA;0;2023;"Songyang Zhang; Tian Liang; Venkata Dinavahi"; IEEE Journal of Emerging and Selected Topics in Industrial Electronics ;Maritime industries desire high speed and reliability, low lifespan cost, and environmental impact shipping for transportation. Compared to highly congested land shipments and high-cost air freight, all-electric ship (AES) can reduce the lifespan energy consumption and transport a considerable freight volume at a lower rate. Recently, the medium voltage dc (MVDC) topology, recommended by IEEE standard, pushes the AES to the next stage in considering space and weight constraints with the reduction of bulky transformers and simplified parallel connections. However, device-level modeling of this massive parallel MVDC-based ship-board microgrid (SBM) is challenging to both the state-of-the-art general-purpose compute unit and traditional electromagnetic transient (EMT)-based emulation. With the rapid development of machine learning (ML) algorithm and its dedicated execution unit, accelerated parallel emulation becomes achievable in different levels of this paralleled connected SBM. Applying the ML-aided technique can help to improve the emulation execution efficiency and reduce the consumption of hardware resource on the field-programmable gate arrays. This work proposes a real-time hybrid ML-EMT-based digital twin of the complete SBM at the subsystem-level and equipment-level with validated results from PSCAD/EMTDC, and device-level with validated results from SaberRD.;"All-electric ship (AES),artificial intelligence (AI),digital twin,electromagnetic transient (EMT),field-programmable gate arrays (FPGAs),gated recurrent units (GRU),hardware-in-the-loop (HIL),machine learning (ML),power electronics,
real-time systems,recurrent neural network (RNN),ship-board microgrid (SBM),silicon carbide (SiC)"
88;Correspondence measure: a review for the digital twin standardization;0;2023;Tarique Hasan Khan, Chiho Noh & Soonhung Han ;The International Journal of Advanced Manufacturing Technology volume;This study delves into the critical issue of Digital Twin (DT) technology standardization, focusing on introducing a novel approach called “correspondence measure.” We draw upon extensive literature review and case study analyses to investigate existing standardization methods, identifying sector-specific and problem-specific strategies. We also underline the importance of interoperability, data privacy and security, real-time synchronization, and accuracy and fidelity in the standardization of DTs. Unveiling the intricacies of the “correspondence measure,” we elucidate its potential in enhancing the standardization process by providing a standardized measure of the accuracy and reliability of a digital twin concerning its physical counterpart. Furthermore, we discuss the applications of our proposed method in various sectors such as manufacturing, healthcare, aerospace, maritime and shipping, and city management. Our findings suggest that the “correspondence measure” can significantly contribute to the existing standardization approaches by facilitating a better understanding of the DT's behavior, thereby fostering trust in these digital replications. This paper not only offers a theoretical contribution to the literature on DT standardization but also provides practical insights for the stakeholders involved in developing, implementing, and managing digital twins.;Digital twin, Standardization, Spatiotemporal similarity measure, CAD
89;Ship Anti-Grounding with a Maritime Autonomous Surface Ship and Digital Twin of Port of Hamburg;2;2023;"James Riordan; Manfred Constapel; Petar Trslic; Gerard Dooly; Johannes Oeffner; Vincent Schneider";OCEANS 2023 - Limerick;"We present the virtual demonstration of a novel ship Anti-Grounding Service in a digital twinned use case scenario in the Port of Hamburg. The scenario is generated from real bathymetry survey data collected in the Port. The virtual model of a Maritime Autonomous Surface Ship travels the route ahead of merchant ships on approach to the Port and is integrated with a real-time high-resolution Multibeam SONAR Simulator that synthesizes underkeel survey data. The automated data processing workflow detects potential grounding hazards in the synthetic survey data and provides a real-time update of the Port nautical chart, which is presented in the Electronic Chart Display and Information System of a Ship Handling Simulator. Our method is the first to consider Multibeam SONAR equipped Maritime Autonomous Surface Ship platforms for provision of ship Anti-Grounding Services. The results validate the full-scale simulation and automated hazard detection workflow and incorporate tests conducted with certified mariners (N=10) to address human factors of introducing new technologies into safety critical situations. The key contributions of this work are summarized as: 1) Validation of Maritime Autonomous Surface Ships as an Anti-Grounding Service delivery platform; 2) Demonstration of a Digital Twin for hydrography survey and bottom hazard detection; and 3) Experimental validation with certified mariners of the anti-grounding service Human-Computer Interface on the ship bridge.";digital twin,safety,navigation,simulation,autonomous,unmanned vehicle,SONAR,hydrography,ports,merchant ship
90;An abstract approach toward the structural digital twin of ship hulls: A numerical study applied to a box girder geometry;24;2021;Konstantinos N. Anyfantis;Proceedings of the Institution of Mechanical Engineers, Part M: Journal of Engineering for the Maritime Environment;Condition monitoring (CM) of ship hull structures is a promising field that has recently attracted the interested of researches. The main challenge behind CM is to develop a system that gets as input sensor readings from the structure and provide the damage locus as an output. In this regard, the current study proposes two alternative CM digital twin schemes for solving this inverse engineering problem. The first one is based on a Finite Element (FE) – Optimization cooperative framework that solves several times the model until the predicted strains match the measured ones and as such the damage location has been found. The other scheme is based on a cooperative framework of Artificial Neural Networks (ANNs) used for classification and fitting, that may be regarded as surrogated models which provide solutions instantaneously. The ANNs are trained through the numerical solutions provided by the FE model. A thin-walled hollow cantilever beam, that resembles a hull-girder subjected to principal stresses under vertical bending, has been adopted. The performed work has allowed for the selection and evaluation of the locations for sensor placement and the estimation of the damage sensitive area for monitoring. Both CM digital twin schemes have proven to be promising for the theoretical simplified examined case.;
91;Artificial Intelligence in Underwater Digital Twins Sensor Networks;52;2022;Zhihan Lv, Dongliang Chen, Hailin Feng, Wei Wei, Haibin Lv;ACM Transactions on Sensor Networks;The particularity of the marine underwater environment has brought many challenges to the development of underwater sensor networks (UWSNs). This research realized the effective monitoring of targets by UWSNs and achieved higher quality of service in various applications such as communication, monitoring, and data transmission in the marine environment. After analysis of the architecture, the marine integrated communication network system (MICN system) is constructed based on the maritime wireless Mesh network (MWMN) by combining with the UWSNs. A distributed hybrid fish swarm optimization algorithm (FSOA) based on mobility of underwater environment and artificial fish swarm (AFS) theory is proposed in response to the actual needs of UWSNs. The proposed FSOA algorithm makes full use of the perceptual communication of sensor nodes and lets the sensor nodes share the information covered by each other as much as possible, enhancing the global search ability. In addition, a reliable transmission protocol NC-HARQ is put forward based on the combination of network coding (NC) and hybrid automatic repeat request (HARQ). In this work, three sets of experiments are performed in an area of 200 × 200 × 200 m. The simulation results show that the FSOA algorithm can fully cover the events, effectively avoid the blind movement of nodes, and ensure consistent distribution density of nodes and events. The NC-HARQ protocol proposed uses relay nodes for retransmission, and the probability of successful retransmission is much higher than that of the source node. At a distance of more than 2,000 m, the successful delivery rate of data packets is as high as 99.6%. Based on the MICN system, the intelligent ship constructed with the digital twins framework can provide effective ship operating state prediction information. In summary, this study is of great value for improving the overall performance of UWSNs and advancing the monitoring of marine data information.;
92;Mariner 4.0: Integrating Seafarers Into A Maritime 4.0 Environment;2;2023;N C Taylor, A Bekker, K Kruger;nternational journal of maritime engineering;Digitalisation of systems and processes in the maritime industry are spurring Maritime 4.0, a digital transformation promising enormous gains, including improved design processes and reduced operational costs. Gleaning inter-disciplinary proficiency from Operator 4.0 in manufacturing, the present work seeks to introduce the Mariner 4.0 – a seafaring passenger or crew member with technologically augmented skills. This research aims to realise Mariner 4.0 through a human digital twin solution – a virtual representation of the state and behaviour of a unique individual over time – for seafarers on South Africa’s polar research and supply vessel, the SA Agulhas II. This paper presents human-related challenges identified within seafaring vessels, the expected value of human digital twin solutions for the maritime industry, the development of a human digital twin solution to integrate seafarers into a Maritime 4.0 environment (i.e. the development of Mariner 4.0), and an illustrative use case focussing on human comfort monitoring and management.;Human digital twin, Digital twin Maritime, digitalisation, Human cyber-physical system
93;Managerial Issues in the Adoption of Digital Twins by Shipping Companies in Greece;1;2022;Dimitrios S. Stamoulis ;European journal of engineering andtechnology research;Maritime industry is experiencing the influence of industry 4.0 solutions and investments. A commercial ship is comparable to an industrial plant and several analogies can be found between the two worlds. Digital twins represent the convergence of the engineering and the digital information technology worlds into the so-called cyber-physical systems, which promise to solve problems in the virtual world, based on the real-world data collected online, and then processed through simulation models and artificial intelligence. Although there is some research literature referring to digital twin (DT) solutions for specific problems in shipping, general lack of clarity on the level and direction of progress in this field has been observed by researchers. This paper tries to address exactly this question by collecting data using an opinion survey of managers of some maritime industry companies based in Greece – a country where a significant part of the global commercial fleet is being managed from. Drivers, enablers and impediments to the adoption of DT in shipping have been identified by an opinion survey. A first attempt to devise a generic cost-benefit framework for the adoption of DT solutions in shipping is presented as a key managerial decision-making tool for such a big investment needed for DT.;Digital Twins, Digital Twins In Shipping, Adoption Of Digital Twins, Maritime Applications Of Digital Twins.
94;Digital Twin for Firefighting System on Ships;0;2023;"Sara Ferreno-Gonzalez; Vicente Diaz-Casas; Marcos Miguez-Gonzalez; Carlos G. San-Gabino";The 33rd International Ocean and Polar Engineering Conference;"A digital twin is a replica of a physical asset with the ability to replicate the behavior of the real system. It can be assumed that a ship can be considered as an aggregate of systems, then, the digital twin of the ship will be an aggregate of twins (or a ""twin of twins""). The development of a digital twin for a ship system will be relied, at least, on three enabling technologies: Industrial Internet of things, Simulation and Data Analysis. The work that is presented has focused on these main concepts that enable the digital twin to be implemented in the system of a real ship, in this case, the saltwater firefighting system.";law enforcement, public safety, marine transportation, europe government, digital twin, ship, neural network, layer & 5, machine learning, detection
95;Network Digital Twin for the Industrial Internet of Things;6;2022;"Mehdi Kherbache; Moufida Maimour; Eric Rondeau";2022 IEEE 23rd International Symposium on a World of Wireless, Mobile and Multimedia Networks (WoWMoM);Digital Twins are starting to revolutionize many industries in the last decade providing a plethora of benefits to optimize the performance of industrial systems. They aim to create a continuously synchronized model of the physical system which enables rapid adaptation to dynamics, mainly unpredicted and undesirable changes. A wide range of industrial fields have already benefited from digital twins technology such as aerospace, manufacturing, healthcare, city management and maritime and shipping. Furthermore, recent research works are starting to study the integration of digital twins for computer networks to allow more innovation and intelligent management. One of the basic building blocks of digital twins technology is the Internet of Things where wireless sensors and actuators are deployed to ensure the interaction between the physical and digital worlds. This type of network is complex to manage due to its severe constraints especially when it controls critical industrial applications, resulting in the Industrial Internet of Things (IIoT). We believe that the optimization of the IIoT will lead to efficient integration of Digital Twins in Industry 4.0. In this paper, we design a Network Digital Twin for the IIoT where sensors, actuators and communication infrastructure are replicated in the digital twin to enable intelligent real-time management of such networks. This way, new networking services such as predictive maintenance, network diagnosis, resource allocation, energy optimization with other intelligent services can be efficiently integrated and exploited in the network life-cycle. We validate the proposed architecture by providing a promising prototype implementation that should unleash the full potential of the network digital twin.;Digital Twin,Internet of Things,Industy 4.0
96;Laying The Foundation For an Intelligence-Powered Extendable Digital Twin Framework For Autonomous Sea Vessels;0;2022;Sætre, Simon Mork;NTNU open;"Humans are the main cause of accidents at sea. It is therefore desirable in some cases to create autonomous vehicles capable of operating without any human intervention. A framework for visualisation and development of a digital twin and RL algorithms is developed in Unity Game Engine. A digital representation of the Trondheim Fjord terrain is created, where wind and rain is implemented by using real-time real world values for the area. Boats emitting AIS signals in the area are also used to create digital representations of the ships. Virtual Reality was implemented in the project which allows for both normal windowed visualisation and virtual visualisation. In addition, the Milliampere 2 boat is represented accurately in the project as a virtual object dictated by a flexible dynamical model. This dynamical model is affected by external forces like wind and two thrusters attached to the bottom of the vessel. As the real boat should have a LIDAR, a ray casting sensor array is used in the project to mimic its real counterpart. A pooling algorithm for the sensor readings is used to reduce the dimensions in the sensor from 220 to 9. This is used in an RL algorithm for controlling the
boat.
A RL algorithm using PPO is trained inside of Unity, where the goal is to follow a given path as closely as possible while avoiding obstacles like land and other boats. After RL training, the boat was given over 100 attempts to complete four paths of varying degree of difficulty. The boat had a 100% success rate on both of the paths containing no obstacles. This success rate dropped to 17% when obstacles were introduced. While the success rate was low when obstacles were introduced, it is suggested that minor changes in Unity will improve future training. A safety filter could be an good addition to ensure the RL model will not act dangerously.";
97;Sensor Control in Anti-Submarine Warfare—A Digital Twin and Random Finite Sets Based Approach;24;2019;Peng Wang,Mei Yang,Yong Peng,Jiancheng Zhu,Rusheng Ju and Quanjun Yin;entropy;"Abstract
Since the submarine has become the major threat to maritime security, there is an urgent need to find a more efficient method of anti-submarine warfare (ASW). The digital twin theory is one of the most outstanding information technologies, and has been quite popular in recent years. The most influential change produced by digital twin is the ability to enable real-time dynamic interactions between the simulation world and the real world. Digital twin can be regarded as a paradigm by means of which selected online measurements are dynamically assimilated into the simulation world, with the running simulation model guiding the real world adaptively in reverse. By combining digital twin theory and random finite sets (RFSs) closely, a new framework of sensor control in ASW is proposed. Two key algorithms are proposed for supporting the digital twin-based framework. First, the RFS-based data-assimilation algorithm is proposed for online assimilating the sequence of real-time measurements with detection uncertainty, data association uncertainty, noise, and clutters. Second, the computation of the reward function by using the results of the proposed data-assimilation algorithm is introduced to find the optimal control action. The results of three groups of experiments successfully verify the feasibility and effectiveness of the proposed approach.";"digital twin; anti-submarine warfare (ASW); data assimilation; online sensor control; random finite set (RFS); sequential Monte Carlo (SMC); Bayesian inference"
98;Towards a Digital Twin of a Complex Maritime Site for Multi-Objective Optimization;0;2022;"Joseph A. J. Ross; Kimberly Tam; David J. Walker; Kevin D. Jones"; 2022 14th International Conference on Cyber Conflict: Keep Moving! (CyCon);Her Majesty’s Naval Base (HMNB) Devonport is a complex maritime site in Plymouth, United Kingdom (UK). Using digital twin technology, the authors will model and simulate the physical entity of the dockyard to optimize for a set of critical priorities. Digital twins are virtual representations of a physical entity, such as a vehicle. They can fully model a complex environment, accurately modelling individual layers within the entity, with each layer accessing data required from other layers. This results in an accurate simulation so that when changes are made in one layer of the model, the impact across the other layers may be observed. An end-user could interact with this digital twin to understand how changing input parameters would affect the measured outputs, allowing the end-users to simulate different options and compare the simulated outcomes before deciding a course of action. If the digital twin is of higher fidelity, the simulated outcomes would be more accurate and demonstrate potentially unintended effects allowing for a more comprehensive overview for the decision-maker. From this digital twin, a decision-maker can manually identify the best parameters to simulate the outcomes through the digital twin. However, using multi-objective optimization can reduce this process so that the twin can create the inputs, monitor the outcomes, and repeatedly try to produce a specific number of outcomes to choose from. These outcomes would be based on a few priorities initially set, and the optimizer would change inputs to enhance each of these priorities. At HMNB Devonport, three main priorities have been identified: cost reduction, time efficiency and carbon neutrality.;digital twin,visualization,multi-objective optimization,dockyard logistics
99;Research on Digital Twin Construction and Safety Management Application of Inland Waterway Based on 3D Video Fusion;15;2020;"Zhaohui Wu; Changxing Ren; Xiaobo Wu; Liang Wang; Lin Zhu; Ziyi Lv";IEEE Access;"The digital twin can reconstruct the scenes of real traffic operation of inland waterways in virtual space, giving birth to new ideas for the digital transformation and upgrading of water safety management. Aiming at the problems of video fragmentation, sub-system data separation and untimely emergency response in the current inland waterway safety monitoring, this paper proposes a new method for reconstructing and applying a digital twin of inland waterways based on 3D video fusion which consists of four parts: (1) Combining drone tilt photography and BIM modeling technology to construct a three-dimensional scene model of inland waterways; (2) Proposing a multi-channel video three-dimensional registration and rendering method to integrate in real time discrete surveillance videos of different angles of view with three-dimensional scene model to establish the spatial correlation between different video images in the scene; (3) Integrating multi-source IoT sensing data to form a scene of digital twin of inland waterways; (4) Exploring innovative application methods for water safety management based on digital twins to meet the water safety management requirements and business logic of inland waterways. A certain segment of the Changhu Shen Line was selected for demonstration and application. The application results show that the construction and application of digital twins for inland waterways combined with 3D video reduces the pressure on managers to understand real-time video footage and improves the efficiency of daily monitoring, evidence collection, and emergency response.";"Digital twin, inland waterway, safety management, video fusion, safety management, inland
waterway, 3D panorama."
100;;;;;;;
101;;;;;;;
102;;;;;;;
103;;;;;;;
104;;;;;;;
105;;;;;;;
106;;;;;;;
107;;;;;;;
108;;;;;;;
109;;;;;;;
110;;;;;;;
111;;;;;;;
112;;;;;;;
113;;;;;;;
114;;;;;;;
115;;;;;;;
116;;;;;;;
117;;;;;;;
118;;;;;;;
119;;;;;;;
120;;;;;;;
121;;;;;;;
122;;;;;;;
123;;;;;;;
124;;;;;;;
125;;;;;;;
126;;;;;;;
127;;;;;;;
128;;;;;;;
129;;;;;;;
130;;;;;;;
131;;;;;;;
132;;;;;;;
133;;;;;;;
134;;;;;;;
135;;;;;;;
136;;;;;;;
137;;;;;;;
138;;;;;;;
139;;;;;;;
140;;;;;;;
141;;;;;;;
142;;;;;;;
143;;;;;;;
144;;;;;;;
145;;;;;;;
146;;;;;;;
147;;;;;;;
148;;;;;;;
149;;;;;;;
150;;;;;;;
151;;;;;;;
152;;;;;;;
153;;;;;;;
154;;;;;;;
155;;;;;;;
156;;;;;;;
157;;;;;;;
158;;;;;;;
159;;;;;;;
160;;;;;;;
161;;;;;;;
162;;;;;;;
163;;;;;;;
164;;;;;;;
165;;;;;;;
166;;;;;;;
167;;;;;;;
168;;;;;;;
169;;;;;;;
170;;;;;;;
171;;;;;;;
172;;;;;;;
173;;;;;;;
174;;;;;;;
175;;;;;;;
176;;;;;;;
177;;;;;;;
178;;;;;;;
179;;;;;;;
180;;;;;;;
181;;;;;;;
182;;;;;;;
183;;;;;;;
184;;;;;;;
185;;;;;;;
186;;;;;;;
187;;;;;;;
188;;;;;;;
189;;;;;;;
190;;;;;;;
191;;;;;;;
192;;;;;;;
193;;;;;;;
194;;;;;;;
195;;;;;;;
196;;;;;;;
197;;;;;;;
198;;;;;;;
199;;;;;;;
200;;;;;;;
